feature,beta_s1,beta_s2,beta_s4,odds_ratio_s1,odds_ratio_s2,odds_ratio_s4
W_y_lag1,0.36531842855545715,0.32670676942396804,0.1753820907291687,1.440972781983416,1.386394884199967,1.1917014677159574
fe_area_Campo Grande: Estação de Trem - Calçadão,-1.2550384248980917,-1.2542464134616327,-1.281998335003582,0.2850648944244878,0.2852907585126688,0.2774822435629145
fe_area_Estações São Francisco Xavier - Afonso Pena,0.20981483301649168,0.2193646369544732,0.2484043044114983,1.233449644659899,1.245285270939606,1.2819781368469203
fe_area_Jardim de Alah,-0.24956305573694634,-0.2503335425366742,-0.242792738239192,0.7791411499608942,0.7785410631988757,0.7844340801127634
fe_area_Metrô Botafogo - Rua São Clemente - Rua Voluntários da Pátria,-0.14026240874789594,-0.13325353765440232,-0.12012904630557816,0.8691301381214511,0.8752431568784645,0.8868059902960601
fe_area_Praia de Botafogo - Rua Marquês de Abrantes,-0.25984813772260995,-0.2589932277441987,-0.24854293958546592,0.7711686883448758,0.7718282500443482,0.7799363699716796
fe_area_Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,0.40179972801139885,0.432839339684389,0.511410396682326,1.4945119938134592,1.5416285222785677,1.6676415732155836
fe_area_Rodoviária - Terminal Gentileza - Estação Leopoldina,-0.36486660083456907,-0.36175084094512694,-0.34404093125220303,0.6942892623088573,0.6964558745129487,0.7088999112946128
fe_area_Rua Lauro Müller – Avenida General Severiano – Avenida Venceslau Brás,-0.09112565442332718,-0.08162468530452131,-0.07802230768113702,0.9129029933928473,0.9216177904947984,0.9249437929621934
is_holiday_week,-0.05738021139022419,-0.02138056689186624,-0.11303843970168415,0.9442349922091503,0.9788463771533712,0.8931163283309377
n_cameras,-0.0030049238388834966,-0.0030280884160994565,-0.0036722816470520434,0.9969995864259568,0.9969764916195445,0.9963344529329153
n_cameras_ring1,0.008393106245167615,0.008577337080245566,0.009106528058045273,1.0084284271094905,1.0086142278353192,1.0091481186374085
n_crimes_12w,0.09964235242844448,0.09565943595889519,0.09443720413617393,1.104775727054411,1.1003842488667623,1.0990401457906764
n_dd_lag1,0.07424532804586587,-0.15054099833861403,-0.004569322041038566,1.077071008812504,0.8602424607727311,0.9954411014288119
n_fat_calcada,0.03075421583377555,0.03118567333618013,0.031175998664888297,1.0312320122353706,1.03167704102237,1.0316670599344007
n_fat_ilum,-0.014012024520104928,-0.012434000607639974,-0.01676160060267597,0.9860856869844047,0.9876429821795745,0.9833780934371579
n_fat_lixo,0.0049151218882588065,0.009026321166846941,0.012939673246516455,1.0049272209144546,1.0090671812499656,1.0130237530821895
n_fat_mobil,-0.02849996986810859,-0.025037243757922246,-0.03009555134170125,0.9719023234313914,0.9752735884984864,0.970352810605701
n_fat_sitrua,-0.020541967776590987,-0.02157456368879284,-0.022459831031429064,0.9796675811415856,0.9786565025096521,0.9777905132408873
n_fat_total,0.023282476958642953,0.024475460585094404,0.02466024081696224,1.0235556295959065,1.0247774433597758,1.0249668194693147
n_fat_transito,0.06618934739278838,0.06449445283866757,0.0658373015333694,1.068429002260269,1.0666196615168957,1.068052932454733
n_fat_vegetac,-0.015522245984177811,-0.021185178705222008,-0.015975749621604952,0.9845976031653989,0.9790376508577091,0.984151185804561
orcrim_CV,-1.787242546449636,-1.7906200060059507,-1.7960119870362914,0.16742118990849342,0.16685668544282786,0.16595941855703494
orcrim_Milícia,0.7737230590042191,0.7621075557722982,0.8158597442007872,2.16782217801833,2.1427875091144277,2.261118820718143
orcrim_Sem domínio,0.13776264591453488,0.1408455865749353,0.1540999824346086,1.1477031059214762,1.1512468662874384,1.1666075212078484
orcrim_TCP,-0.29366721060914486,-0.28835156628182357,-0.32676192985165164,0.7455245528267037,0.7494980476732097,0.7212554319764769
week_cos,0.04263360098108552,0.03430651826793752,0.027313144248622308,1.0435554670949874,1.034901774416169,1.027689567458897
week_sin,-0.052869227848615585,-0.05624730333080177,-0.05538976424301449,0.9485040422865059,0.9453053298243882,0.9461163137701247
y_lag1,0.2345963591222193,0.20764828667185067,0.22252462892526342,1.2643983028765418,1.2307802116103463,1.2492265863800087
y_lag12,0.019378876848962202,0.08104652751258404,0.06961416181031255,1.0195678661087693,1.0844213508210425,1.072094446461611
y_lag2,0.18523751593201135,0.21092313639241125,0.19943934579572214,1.2035042576186759,1.2348174388905748,1.220718165496501
y_lag4,0.18078403517958008,0.1733564898489396,0.10991638665589028,1.1981563917197269,1.1892899993347525,1.1161847386183918
