fact_id,source,layer,lat,lon,geom_quality,area_fm_id,area_fm_nome,bairro,ano,mes,hora,dia_semana,category,orgao_responsavel,attributes_json,prov_file,prov_row_id,ingested_at
cameras:15,cameras,suporte,-22.9049433,-43.1804809,ok,20,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,,,,,,camera,,"{""id_ponto"": ""339cc59d-8da1-42d9-b155-2b4845970bd0"", ""id_trecho"": ""70308"", ""nome_area_fm"": ""Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia""}",cameras_areas_fm.csv,15,2026-05-24T15:59:59+00:00
cameras:16,cameras,suporte,-22.9077874,-43.1756322,ok,20,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,,,,,,camera,,"{""id_ponto"": ""b6f6e84f-3880-4b5a-9971-f276ca3127d7"", ""id_trecho"": ""56511"", ""nome_area_fm"": ""Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia""}",cameras_areas_fm.csv,16,2026-05-24T15:59:59+00:00
cameras:17,cameras,suporte,-22.9038133,-43.1862495,ok,20,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,,,,,,camera,,"{""id_ponto"": ""ee9dd3a3-aa8f-47eb-acef-34a13fd7092a"", ""id_trecho"": ""51513"", ""nome_area_fm"": ""Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia""}",cameras_areas_fm.csv,17,2026-05-24T15:59:59+00:00
cameras:18,cameras,suporte,-22.9068148,-43.1972254,ok,20,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,,,,,,camera,,"{""id_ponto"": ""456bc25b-c530-44d8-8adb-995863d37cea"", ""id_trecho"": ""100526"", ""nome_area_fm"": ""Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia""}",cameras_areas_fm.csv,18,2026-05-24T15:59:59+00:00
cameras:19,cameras,suporte,-22.907941,-43.1766272,ok,20,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,,,,,,camera,,"{""id_ponto"": ""a0a8fb84-c1c1-4398-b8f8-f279c15d4ac2"", ""id_trecho"": ""58743"", ""nome_area_fm"": ""Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia""}",cameras_areas_fm.csv,19,2026-05-24T15:59:59+00:00
cameras:20,cameras,suporte,-22.9037029,-43.1782566,ok,20,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,,,,,,camera,,"{""id_ponto"": ""83be628b-1425-43a7-8d7f-f01312f651c9"", ""id_trecho"": ""70197"", ""nome_area_fm"": ""Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia""}",cameras_areas_fm.csv,20,2026-05-24T15:59:59+00:00
cameras:21,cameras,suporte,-22.9044638,-43.189759,ok,20,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,,,,,,camera,,"{""id_ponto"": ""d94ddb4d-cd73-4b92-ba27-2a2ea8812fa1"", ""id_trecho"": ""70150"", ""nome_area_fm"": ""Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia""}",cameras_areas_fm.csv,21,2026-05-24T15:59:59+00:00
cameras:22,cameras,suporte,-22.9049674,-43.1915764,ok,20,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,,,,,,camera,,"{""id_ponto"": ""d43f6442-7595-42fd-ae40-d2978044b5e3"", ""id_trecho"": ""201913"", ""nome_area_fm"": ""Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia""}",cameras_areas_fm.csv,22,2026-05-24T15:59:59+00:00
cameras:23,cameras,suporte,-22.9076972,-43.1908359,ok,20,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,,,,,,camera,,"{""id_ponto"": ""c4f6e190-bebb-4e97-95b9-f06466046714"", ""id_trecho"": ""49992"", ""nome_area_fm"": ""Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia""}",cameras_areas_fm.csv,23,2026-05-24T15:59:59+00:00
cameras:24,cameras,suporte,-22.9051258,-43.1814344,ok,20,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,,,,,,camera,,"{""id_ponto"": ""1be864d8-f738-4fc2-9dae-590ddc166037"", ""id_trecho"": ""305760"", ""nome_area_fm"": ""Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia""}",cameras_areas_fm.csv,24,2026-05-24T15:59:59+00:00
cameras:25,cameras,suporte,-22.9113434,-43.1762103,ok,20,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,,,,,,camera,,"{""id_ponto"": ""2f23112d-eb07-4f0c-8cc0-39fcc1541ff1"", ""id_trecho"": ""70356"", ""nome_area_fm"": ""Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia""}",cameras_areas_fm.csv,25,2026-05-24T15:59:59+00:00
cameras:26,cameras,suporte,-22.9134785,-43.178819,ok,20,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,,,,,,camera,,"{""id_ponto"": ""fab91f27-793f-4732-b164-41deb6d27cb9"", ""id_trecho"": ""72150"", ""nome_area_fm"": ""Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia""}",cameras_areas_fm.csv,26,2026-05-24T15:59:59+00:00
cameras:27,cameras,suporte,-22.9085288,-43.1957901,ok,20,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,,,,,,camera,,"{""id_ponto"": ""6370d839-0e97-4508-bf52-fb3953d9ca57"", ""id_trecho"": ""301951"", ""nome_area_fm"": ""Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia""}",cameras_areas_fm.csv,27,2026-05-24T15:59:59+00:00
cameras:28,cameras,suporte,-22.9080309,-43.1951734,ok,20,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,,,,,,camera,,"{""id_ponto"": ""5da4d420-5b5b-4eaa-a000-758440838e3f"", ""id_trecho"": ""49980"", ""nome_area_fm"": ""Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia""}",cameras_areas_fm.csv,28,2026-05-24T15:59:59+00:00
cameras:29,cameras,suporte,-22.9035317,-43.1840051,ok,20,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,,,,,,camera,,"{""id_ponto"": ""4f595225-18b6-48ba-83a6-68450a9ebfb2"", ""id_trecho"": ""70162"", ""nome_area_fm"": ""Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia""}",cameras_areas_fm.csv,29,2026-05-24T15:59:59+00:00
cameras:30,cameras,suporte,-22.902207,-43.1791656,ok,20,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,,,,,,camera,,"{""id_ponto"": ""ff3bdf04-659c-43e6-bfb7-b6274de0e429"", ""id_trecho"": ""72241"", ""nome_area_fm"": ""Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia""}",cameras_areas_fm.csv,30,2026-05-24T15:59:59+00:00
cameras:31,cameras,suporte,-22.906328,-43.1946964,ok,20,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,,,,,,camera,,"{""id_ponto"": ""a72a4415-c2d9-46c3-b442-644711e03802"", ""id_trecho"": ""99814"", ""nome_area_fm"": ""Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia""}",cameras_areas_fm.csv,31,2026-05-24T15:59:59+00:00
cameras:32,cameras,suporte,-22.9063661,-43.1926919,ok,20,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,,,,,,camera,,"{""id_ponto"": ""c5dfbb35-db18-41b8-9a58-97754e5b10eb"", ""id_trecho"": ""49997"", ""nome_area_fm"": ""Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia""}",cameras_areas_fm.csv,32,2026-05-24T15:59:59+00:00
cameras:33,cameras,suporte,-22.9032631,-43.1800454,ok,20,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,,,,,,camera,,"{""id_ponto"": ""9cb73080-c07b-4af9-9965-78e5eb2ee68f"", ""id_trecho"": ""58753"", ""nome_area_fm"": ""Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia""}",cameras_areas_fm.csv,33,2026-05-24T15:59:59+00:00
cameras:34,cameras,suporte,-22.905797,-43.1826759,ok,20,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,,,,,,camera,,"{""id_ponto"": ""be473851-4818-4976-ad38-a9993bbfe175"", ""id_trecho"": ""51690"", ""nome_area_fm"": ""Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia""}",cameras_areas_fm.csv,34,2026-05-24T15:59:59+00:00
