territorio_id,nome_territorio,dominio_orcrim,area_fm_ids,geom_quality,geometry_wkt
20,FAVELA 14 DE JULHO,ADA,,ok,"POLYGON ((-43.414693 -22.875035, -43.412982 -22.87506, -43.412923 -22.874017, -43.413417 -22.874002, -43.414009 -22.874014, -43.414023 -22.873906, -43.414414 -22.873906, -43.414439 -22.873794, -43.415112 -22.873827, -43.415128 -22.873854, -43.414693 -22.875035))"
22,BATAN,ADA,,ok,"POLYGON ((-43.42584 -22.865381, -43.425036 -22.86549, -43.424885 -22.864985, -43.423845 -22.865015, -43.422504 -22.864867, -43.42223 -22.864056, -43.422973 -22.863898, -43.422754 -22.863562, -43.422527 -22.863384, -43.422263 -22.863265, -43.422002 -22.863236, -43.421765 -22.86327, -43.421732 -22.86309, -43.422176 -22.863108, -43.422184 -22.86288, -43.422253 -22.862598, -43.422201 -22.862368, -43.421671 -22.862283, -43.421674 -22.862013, -43.421087 -22.861871, -43.421334 -22.860784, -43.42215 -22.860052, -43.422799 -22.859963, -43.424572 -22.860057, -43.43026 -22.858866, -43.431087 -22.858728, -43.42893 -22.861446, -43.433683 -22.861762, -43.433747 -22.861466, -43.434102 -22.861061, -43.435164 -22.861891, -43.435303 -22.862089, -43.435078 -22.863789, -43.42584 -22.865381))"
24,FAVELA VILA BRASIL,ADA,,ok,"POLYGON ((-43.40976 -22.882326, -43.409325 -22.882597, -43.408714 -22.880719, -43.408108 -22.878663, -43.407593 -22.877141, -43.407485 -22.876642, -43.407786 -22.876652, -43.408156 -22.876686, -43.408118 -22.876874, -43.408537 -22.876988, -43.409406 -22.877087, -43.409395 -22.87725, -43.40976 -22.882326))"
30,COMUNIDADE DOM JOAO IV,ADA,,ok,"POLYGON ((-43.451511 -22.894508, -43.450849 -22.895036, -43.451124 -22.895017, -43.451226 -22.895175, -43.451355 -22.895324, -43.451237 -22.895393, -43.451114 -22.895605, -43.450996 -22.895674, -43.450722 -22.895689, -43.450738 -22.895511, -43.450883 -22.895383, -43.450722 -22.895254, -43.450668 -22.895353, -43.45054 -22.895408, -43.450395 -22.895338, -43.450175 -22.895472, -43.44981 -22.895561, -43.449617 -22.895467, -43.449381 -22.895086, -43.448898 -22.894533, -43.448904 -22.89437, -43.449365 -22.893935, -43.449767 -22.893752, -43.450202 -22.893688, -43.450717 -22.893752, -43.451098 -22.894039, -43.451457 -22.894429, -43.451511 -22.894508))"
33,MORRO DO INACIO DIAS - COMPLEXO DO 18,ADA,,ok,"POLYGON ((-43.318188 -22.9022, -43.317726 -22.902556, -43.317394 -22.902714, -43.316535 -22.903109, -43.315795 -22.903534, -43.31557 -22.902991, -43.314819 -22.903169, -43.314754 -22.902882, -43.315076 -22.902734, -43.314969 -22.90217, -43.316278 -22.901785, -43.31587 -22.900194, -43.315741 -22.899779, -43.315377 -22.899828, -43.31513 -22.899196, -43.31483 -22.898474, -43.315012 -22.898346, -43.31469 -22.897367, -43.315978 -22.898148, -43.315849 -22.898306, -43.315688 -22.898405, -43.315806 -22.898543, -43.31601 -22.898593, -43.316128 -22.898731, -43.31631 -22.898968, -43.316557 -22.899038, -43.316728 -22.899097, -43.316825 -22.899166, -43.316964 -22.898998, -43.316868 -22.89881, -43.317125 -22.898524, -43.317265 -22.898741, -43.317576 -22.898781, -43.317608 -22.898652, -43.31778 -22.898622, -43.317984 -22.898583, -43.318155 -22.898514, -43.318402 -22.898593, -43.318585 -22.898741, -43.319099 -22.89882, -43.319089 -22.899018, -43.319046 -22.899196, -43.318692 -22.899146, -43.31866 -22.899314, -43.318939 -22.899482, -43.319003 -22.899759, -43.319164 -22.899759, -43.319099 -22.900273, -43.319507 -22.900461, -43.319732 -22.900204, -43.320065 -22.900253, -43.320462 -22.900283, -43.320634 -22.900579, -43.320623 -22.900965, -43.320333 -22.901113, -43.319936 -22.901143, -43.319593 -22.900994, -43.319411 -22.900629, -43.319024 -22.900451, -43.318767 -22.900105, -43.318477 -22.899927, -43.318359 -22.899571, -43.318209 -22.899769, -43.317909 -22.899611, -43.317705 -22.899542, -43.317651 -22.899324, -43.317168 -22.899196, -43.317061 -22.899344, -43.317297 -22.899344, -43.317308 -22.899571, -43.317469 -22.899719, -43.317372 -22.900006, -43.317308 -22.900303, -43.317158 -22.900471, -43.316535 -22.900609, -43.316546 -22.900866, -43.316643 -22.901014, -43.316696 -22.901172, -43.316836 -22.901242, -43.316707 -22.901558, -43.316911 -22.901666, -43.316986 -22.90137, -43.31719 -22.901409, -43.317383 -22.901409, -43.317565 -22.901508, -43.317726 -22.901518, -43.317716 -22.901666, -43.318091 -22.901716, -43.318509 -22.901666, -43.318402 -22.901795, -43.318188 -22.9022))"
35,BATANZINHO,ADA,,ok,"POLYGON ((-43.431448 -22.864892, -43.431676 -22.86489, -43.432065 -22.864837, -43.432555 -22.86478, -43.432675 -22.864825, -43.432681 -22.864904, -43.43222 -22.865754, -43.43207 -22.8661, -43.431158 -22.865991, -43.430191 -22.865892, -43.430009 -22.866278, -43.429805 -22.866763, -43.429366 -22.866604, -43.429242 -22.866797, -43.428979 -22.867118, -43.428617 -22.867205, -43.428126 -22.867183, -43.427568 -22.867119, -43.427772 -22.866466, -43.428099 -22.865814, -43.42811 -22.865547, -43.428774 -22.865252, -43.429019 -22.865243, -43.429188 -22.865127, -43.430781 -22.864835, -43.430921 -22.864924, -43.431329 -22.864874, -43.431448 -22.864892))"
41,FAVELA DO LARGUINHO,ADA,,ok,"POLYGON ((-43.43497 -22.886496, -43.433404 -22.886239, -43.43306 -22.886457, -43.432395 -22.885784, -43.43188 -22.885883, -43.431279 -22.886417, -43.430614 -22.8862, -43.430614 -22.884974, -43.429799 -22.883234, -43.428576 -22.881, -43.428962 -22.880645, -43.43055 -22.882622, -43.431773 -22.883768, -43.432417 -22.8845, -43.43585 -22.884104, -43.436086 -22.886042, -43.435635 -22.885962, -43.43497 -22.886496))"
43,MORRO DO SETE SETE,ADA,,ok,"POLYGON ((-43.455312 -22.89559, -43.454818 -22.895392, -43.454454 -22.895076, -43.453874 -22.895096, -43.452952 -22.894977, -43.45248 -22.895116, -43.451793 -22.894997, -43.450849 -22.895036, -43.451879 -22.894246, -43.452458 -22.893989, -43.453467 -22.892961, -43.452737 -22.891874, -43.451943 -22.89132, -43.450806 -22.891202, -43.449411 -22.890272, -43.447201 -22.889007, -43.447115 -22.888335, -43.446557 -22.888454, -43.447179 -22.887426, -43.448102 -22.886576, -43.449218 -22.886576, -43.449883 -22.886952, -43.451128 -22.887544, -43.451836 -22.887722, -43.452801 -22.887643, -43.454003 -22.888513, -43.454497 -22.88879, -43.454776 -22.88794, -43.454969 -22.887979, -43.455226 -22.889383, -43.455655 -22.889739, -43.457093 -22.889996, -43.457758 -22.890609, -43.457758 -22.891162, -43.45778 -22.891577, -43.457265 -22.891656, -43.457029 -22.891103, -43.456492 -22.891202, -43.456406 -22.891716, -43.457007 -22.892388, -43.457436 -22.893218, -43.457801 -22.894206, -43.457093 -22.894444, -43.456707 -22.894957, -43.456256 -22.895116, -43.455891 -22.895155, -43.455612 -22.895234, -43.455312 -22.89559))"
46,CAPELINHA,ADA,,ok,"POLYGON ((-43.417292 -22.878089, -43.417131 -22.877513, -43.418247 -22.877266, -43.418284 -22.877187, -43.418346 -22.877177, -43.418499 -22.877066, -43.418925 -22.877666, -43.417292 -22.878089))"
53,MORRO DA LEMOS DE BRITO - COMPLEXO DO 18,ADA,,ok,"POLYGON ((-43.32856 -22.897474, -43.328764 -22.897632, -43.328903 -22.89787, -43.32915 -22.898057, -43.329333 -22.898077, -43.329472 -22.897998, -43.329633 -22.898245, -43.329783 -22.898393, -43.330041 -22.898512, -43.330019 -22.89865, -43.329987 -22.898977, -43.329579 -22.899115, -43.32929 -22.899184, -43.329236 -22.899342, -43.329333 -22.899461, -43.329225 -22.89956, -43.329022 -22.89954, -43.32886 -22.899698, -43.328549 -22.899787, -43.328388 -22.899738, -43.328378 -22.899935, -43.328217 -22.899955, -43.328056 -22.899906, -43.328056 -22.899738, -43.327895 -22.899678, -43.327766 -22.899836, -43.327573 -22.899846, -43.327476 -22.899649, -43.327208 -22.899639, -43.327101 -22.899589, -43.326908 -22.899688, -43.326683 -22.899975, -43.326425 -22.900044, -43.326092 -22.900093, -43.326017 -22.899906, -43.325899 -22.899639, -43.325974 -22.899471, -43.326028 -22.899263, -43.325974 -22.898917, -43.326017 -22.898779, -43.326028 -22.898581, -43.325814 -22.898413, -43.325674 -22.898166, -43.325728 -22.898018, -43.325535 -22.897959, -43.325148 -22.89785, -43.325009 -22.897622, -43.324912 -22.897435, -43.325213 -22.897217, -43.32591 -22.896397, -43.325952 -22.89634, -43.325877 -22.896285, -43.326231 -22.895855, -43.328077 -22.897128, -43.32856 -22.897474))"
60,VILA IMPERIAL,ADA,,ok,"POLYGON ((-43.426916 -22.87462, -43.422597 -22.87458, -43.42235 -22.87457, -43.421165 -22.874323, -43.420526 -22.873997, -43.419727 -22.873305, -43.419357 -22.872841, -43.420854 -22.872732, -43.422785 -22.872643, -43.42683 -22.874526, -43.426916 -22.87462))"
66,MORRO DO 18,ADA,,ok,"POLYGON ((-43.315955 -22.90712, -43.31574 -22.906962, -43.31551 -22.907056, -43.315188 -22.907046, -43.315059 -22.906443, -43.315424 -22.906216, -43.31552 -22.905989, -43.315692 -22.905781, -43.315295 -22.90424, -43.315628 -22.904131, -43.31595 -22.904012, -43.3164 -22.903775, -43.316754 -22.903597, -43.317076 -22.903518, -43.317291 -22.903577, -43.317269 -22.903706, -43.31758 -22.903666, -43.317677 -22.90338, -43.317838 -22.903162, -43.318203 -22.903212, -43.318374 -22.903637, -43.318235 -22.903824, -43.317816 -22.904002, -43.317816 -22.9042, -43.317763 -22.904328, -43.317816 -22.904417, -43.317956 -22.904378, -43.317977 -22.904546, -43.317816 -22.904724, -43.317902 -22.904892, -43.318128 -22.904971, -43.318095 -22.905139, -43.317881 -22.905188, -43.317677 -22.905277, -43.31758 -22.905455, -43.317698 -22.905574, -43.317806 -22.905702, -43.317655 -22.905811, -43.317677 -22.905999, -43.317698 -22.906256, -43.317452 -22.906325, -43.317269 -22.906345, -43.317012 -22.906354, -43.316636 -22.906167, -43.316293 -22.906147, -43.316207 -22.906354, -43.316347 -22.906592, -43.316497 -22.906819, -43.316159 -22.906942, -43.315955 -22.90712))"
68,PARQUE DAS NOGUEIRAS,ADA,,ok,"POLYGON ((-43.409024 -22.88566, -43.409968 -22.886273, -43.410998 -22.88649, -43.41192 -22.886886, -43.413508 -22.887874, -43.414346 -22.88904, -43.412544 -22.889949, -43.409496 -22.88904, -43.407951 -22.888487, -43.406019 -22.886293, -43.405998 -22.884375, -43.409024 -22.88566))"
72,VILA SANTA TERESA,ADA,,ok,"POLYGON ((-43.421122 -22.874822, -43.419421 -22.874986, -43.417592 -22.873547, -43.417576 -22.872994, -43.419073 -22.872895, -43.419598 -22.873389, -43.420097 -22.873883, -43.420607 -22.8742, -43.42109 -22.874437, -43.421835 -22.874645, -43.422082 -22.874699, -43.422029 -22.874778, -43.421122 -22.874822))"
73,CÉU AZUL,CV,,ok,"POLYGON ((-43.268409 -22.902089, -43.26839 -22.902124, -43.268625 -22.90225, -43.2685 -22.902408, -43.268465 -22.902469, -43.268292 -22.90237, -43.268278 -22.902583, -43.266901 -22.902278, -43.266992 -22.901982, -43.267292 -22.901513, -43.267414 -22.901244, -43.267375 -22.90112, -43.267426 -22.901048, -43.268236 -22.90128, -43.268386 -22.901369, -43.268623 -22.90166, -43.268409 -22.902089))"
74,HIMALAIA,CV,,ok,"POLYGON ((-43.390182 -22.818053, -43.389924 -22.81923, -43.388936 -22.819131, -43.388862 -22.819724, -43.389108 -22.819774, -43.389119 -22.820357, -43.389312 -22.821148, -43.389624 -22.82187, -43.389323 -22.822414, -43.389001 -22.822572, -43.387864 -22.822454, -43.38723 -22.822394, -43.384174 -22.822869, -43.384216 -22.822454, -43.38397 -22.821732, -43.383958 -22.821158, -43.388529 -22.816273, -43.390182 -22.818053))"
76,ROUPA SUJA ROCINHA,CV,,ok,"POLYGON ((-43.248488 -22.990537, -43.248896 -22.990992, -43.248853 -22.991288, -43.249357 -22.991426, -43.249174 -22.991643, -43.249486 -22.991624, -43.249829 -22.992157, -43.249245 -22.992341, -43.248621 -22.992591, -43.247944 -22.992662, -43.247602 -22.992485, -43.247614 -22.992267, -43.247416 -22.992048, -43.246756 -22.991912, -43.246581 -22.99161, -43.246793 -22.991438, -43.246498 -22.991122, -43.246745 -22.990623, -43.247013 -22.990317, -43.248279 -22.990211, -43.248488 -22.990537))"
77,PARQUE CIDADE,CV,,ok,"POLYGON ((-43.241425 -22.982386, -43.24018 -22.981655, -43.240481 -22.981102, -43.24121 -22.980272, -43.242068 -22.979858, -43.243313 -22.980628, -43.241747 -22.98211, -43.241425 -22.982386))"
80,FAVELA DO SINIMBU,CV,,ok,"POLYGON ((-43.233382 -22.90206, -43.232953 -22.90214, -43.232642 -22.902525, -43.232309 -22.902446, -43.232094 -22.902238, -43.231934 -22.902298, -43.231365 -22.902752, -43.230946 -22.902574, -43.230603 -22.902357, -43.230925 -22.901527, -43.232481 -22.901695, -43.232459 -22.900697, -43.233682 -22.90038, -43.234058 -22.900934, -43.233843 -22.90129, -43.233521 -22.90123, -43.233382 -22.90206))"
82,CONJ DO TRIO DE OURO,CV,,ok,"POLYGON ((-43.371113 -22.766178, -43.370566 -22.76598, -43.369386 -22.766, -43.368849 -22.765277, -43.367304 -22.764872, -43.367347 -22.764496, -43.367637 -22.764466, -43.37209 -22.765267, -43.372036 -22.766603, -43.371113 -22.766178))"
83,MORRO DO DUMAS,CV,,ok,"POLYGON ((-43.699143 -22.929609, -43.69976 -22.931561, -43.699267 -22.931482, -43.69652 -22.930553, -43.695506 -22.930567, -43.695517 -22.93038, -43.694877 -22.929602, -43.698225 -22.928959, -43.698778 -22.929115, -43.699143 -22.929609))"
