fact_id,source,layer,lat,lon,geom_quality,area_fm_id,area_fm_nome,bairro,ano,mes,hora,dia_semana,category,orgao_responsavel,attributes_json,prov_file,prov_row_id,ingested_at
fatores_urbanos:1638,fatores_urbanos,fator_urbano,-22.9864072,-43.2085848,ok,,,Ipanema,,,,,Vegetação encobrindo iluminação pública,COMLURB,"{""id_resposta_ocorrencia"": ""1592"", ""logradouro"": ""Avenida Vieira Souto"", ""subarea_nome"": ""General Osório - Nossa Senhora da Paz"", ""valido"": null, ""tipo_pessoa_descricao"": null, ""ocupacao_drogas_descricao"": null, ""item_praca_descricao"": null}",fatores_urbanos.csv,1638,2026-05-24T15:59:59+00:00
fatores_urbanos:1639,fatores_urbanos,fator_urbano,-22.9842865,-43.1968164,ok,,,Ipanema,,,,,Vegetação encobrindo iluminação pública,COMLURB,"{""id_resposta_ocorrencia"": ""940"", ""logradouro"": ""Rua Jangadeiros"", ""subarea_nome"": null, ""valido"": null, ""tipo_pessoa_descricao"": null, ""ocupacao_drogas_descricao"": null, ""item_praca_descricao"": null}",fatores_urbanos.csv,1639,2026-05-24T15:59:59+00:00
fatores_urbanos:1640,fatores_urbanos,fator_urbano,-22.9831506,-43.2048872,ok,,,Ipanema,,,,,Vegetação encobrindo iluminação pública,COMLURB,"{""id_resposta_ocorrencia"": ""980"", ""logradouro"": ""Rua Barão da Torre"", ""subarea_nome"": null, ""valido"": null, ""tipo_pessoa_descricao"": null, ""ocupacao_drogas_descricao"": null, ""item_praca_descricao"": null}",fatores_urbanos.csv,1640,2026-05-24T15:59:59+00:00
fatores_urbanos:1641,fatores_urbanos,fator_urbano,-22.9849229,-43.2168218,ok,10,Jardim de Alah,Leblon,,,,,Vegetação encobrindo iluminação pública,COMLURB,"{""id_resposta_ocorrencia"": ""1184"", ""logradouro"": ""Rua Almirante Pereira Guimarães"", ""subarea_nome"": ""Jardim de Alah"", ""valido"": null, ""tipo_pessoa_descricao"": null, ""ocupacao_drogas_descricao"": null, ""item_praca_descricao"": null}",fatores_urbanos.csv,1641,2026-05-24T15:59:59+00:00
fatores_urbanos:1642,fatores_urbanos,fator_urbano,-22.9519828,-43.1859321,ok,9,Metrô Botafogo - Rua São Clemente - Rua Voluntários da Pátria,Botafogo,,,,,Vegetação encobrindo iluminação pública,COMLURB,"{""id_resposta_ocorrencia"": ""2688"", ""logradouro"": ""Rua Voluntários da Pátria"", ""subarea_nome"": ""Metrô Botafogo - Rua São Clemente - Rua Voluntários da Pátria"", ""valido"": ""TRUE"", ""tipo_pessoa_descricao"": null, ""ocupacao_drogas_descricao"": null, ""item_praca_descricao"": null}",fatores_urbanos.csv,1642,2026-05-24T15:59:59+00:00
fatores_urbanos:1643,fatores_urbanos,fator_urbano,-22.9790957,-43.2181365,ok,10,Jardim de Alah,Leblon,,,,,Vegetação encobrindo iluminação pública,COMLURB,"{""id_resposta_ocorrencia"": ""3096"", ""logradouro"": ""Avenida Afrânio de Melo Franco"", ""subarea_nome"": ""Jardim de Alah"", ""valido"": ""TRUE"", ""tipo_pessoa_descricao"": null, ""ocupacao_drogas_descricao"": null, ""item_praca_descricao"": null}",fatores_urbanos.csv,1643,2026-05-24T15:59:59+00:00
fatores_urbanos:1644,fatores_urbanos,fator_urbano,-22.9856386,-43.215149,ok,10,Jardim de Alah,Leblon,,,,,Vegetação encobrindo iluminação pública,COMLURB,"{""id_resposta_ocorrencia"": ""1423"", ""logradouro"": ""Avenida Epitácio Pessoa"", ""subarea_nome"": ""Jardim de Alah"", ""valido"": null, ""tipo_pessoa_descricao"": null, ""ocupacao_drogas_descricao"": null, ""item_praca_descricao"": null}",fatores_urbanos.csv,1644,2026-05-24T15:59:59+00:00
fatores_urbanos:1645,fatores_urbanos,fator_urbano,-22.984306,-43.2038264,ok,,,Ipanema,,,,,Vegetação encobrindo iluminação pública,COMLURB,"{""id_resposta_ocorrencia"": ""1709"", ""logradouro"": ""Rua Visconde de Pirajá"", ""subarea_nome"": ""General Osório - Nossa Senhora da Paz"", ""valido"": null, ""tipo_pessoa_descricao"": null, ""ocupacao_drogas_descricao"": null, ""item_praca_descricao"": null}",fatores_urbanos.csv,1645,2026-05-24T15:59:59+00:00
fatores_urbanos:1646,fatores_urbanos,fator_urbano,-22.9866674,-43.2008301,ok,,,Ipanema,,,,,Vegetação encobrindo iluminação pública,COMLURB,"{""id_resposta_ocorrencia"": ""1601"", ""logradouro"": ""Rua Farme de Amoedo"", ""subarea_nome"": ""General Osório - Nossa Senhora da Paz"", ""valido"": null, ""tipo_pessoa_descricao"": null, ""ocupacao_drogas_descricao"": null, ""item_praca_descricao"": null}",fatores_urbanos.csv,1646,2026-05-24T15:59:59+00:00
fatores_urbanos:1647,fatores_urbanos,fator_urbano,-22.9855754,-43.1969747,ok,,,Ipanema,,,,,Vegetação encobrindo iluminação pública,COMLURB,"{""id_resposta_ocorrencia"": ""942"", ""logradouro"": ""Prudente de morais"", ""subarea_nome"": ""General Osório - Nossa Senhora da Paz"", ""valido"": null, ""tipo_pessoa_descricao"": null, ""ocupacao_drogas_descricao"": null, ""item_praca_descricao"": null}",fatores_urbanos.csv,1647,2026-05-24T15:59:59+00:00
