area_fm_id,category,orgao_responsavel,qtd
19,Motocicletas trafegando no passeio,GM-Rio,7
19,Calçada estreita forçando pedestres à pista,SECONSERVA,6
19,Pessoas em situação de rua,SMAS,6
19,Vegetação obstruindo a visibilidade do passeio,COMLURB,5
19,Veículos de grande porte obstruindo a visibilidade,SEOP,4
19,Área mal iluminada com circulação de pedestres,Rio Luz,4
19,Lixo/entulho forçando pedestres à pista,COMLURB,3
19,Ponto de ônibus com histórico de vandalismo,SMTR,3
19,Vãos ou cavidades usados como esconderijo,SECONSERVA,3
19,Comércio irregular obstruindo a visibilidade do passeio,SEOP,2
19,Estacionamento irregular forçando pedestres à pista,SEOP,2
19,Lixo/entulho obstruindo a visibilidade,COMLURB,1
19,Mobiliário abandonado servindo de esconderijo,SECONSERVA,1
19,Mobiliário urbano desviando pedestres para a pista,SECONSERVA,1
19,Mobiliário/estrutura servindo de esconderijo,SECONSERVA,1
19,Ponto de retenção do tráfego,CET-Rio,1
19,Tapumes servindo de esconderijo,SECONSERVA,1
19,Área mal iluminada com parada de veículos,Rio Luz,1
20,Pessoas em situação de rua,SMAS,22
20,Vegetação encobrindo iluminação pública,COMLURB,13
20,Ponto de retenção do tráfego,CET-Rio,11
20,Comércio irregular obstruindo a visibilidade do passeio,SEOP,7
20,Calçada estreita forçando pedestres à pista,SECONSERVA,5
20,Cena de uso de drogas,SMAS,5
20,Mobiliário/estrutura servindo de esconderijo,SECONSERVA,4
20,Motocicletas trafegando no passeio,GM-Rio,3
20,Vegetação obstruindo a visibilidade do passeio,COMLURB,3
20,Estacionamento irregular forçando pedestres à pista,SEOP,2
20,Mobiliário urbano desviando pedestres para a pista,SECONSERVA,2
20,Área mal iluminada com circulação de pedestres,Rio Luz,2
20,Veículos de grande porte obstruindo a visibilidade,SEOP,1
20,Vãos ou cavidades usados como esconderijo,SECONSERVA,1
