area_fm_id,dia_semana,hora,qtd
9,Segunda,21,6
9,Segunda,22,6
9,Segunda,23,16
9,Sexta,0,4
9,Sexta,1,12
9,Sexta,2,8
9,Sexta,3,2
9,Sexta,4,6
9,Sexta,5,5
9,Sexta,6,1
9,Sexta,7,2
9,Sexta,8,6
9,Sexta,9,2
9,Sexta,10,3
9,Sexta,11,2
9,Sexta,12,3
9,Sexta,13,7
9,Sexta,14,5
9,Sexta,15,2
9,Sexta,16,4
9,Sexta,17,6
9,Sexta,18,9
9,Sexta,19,7
9,Sexta,20,9
9,Sexta,21,4
9,Sexta,22,9
9,Sexta,23,17
9,Sábado,0,9
9,Sábado,1,12
9,Sábado,2,16
9,Sábado,3,8
9,Sábado,4,3
9,Sábado,5,7
9,Sábado,6,1
9,Sábado,7,2
9,Sábado,8,1
9,Sábado,9,2
9,Sábado,10,1
9,Sábado,11,4
9,Sábado,12,5
9,Sábado,13,1
9,Sábado,14,1
9,Sábado,15,2
9,Sábado,16,5
9,Sábado,17,3
9,Sábado,18,3
9,Sábado,19,3
9,Sábado,20,3
9,Sábado,21,10
9,Sábado,22,8
9,Sábado,23,17
9,Terça,0,5
9,Terça,1,3
9,Terça,2,3
9,Terça,3,1
9,Terça,4,5
9,Terça,6,4
9,Terça,7,7
9,Terça,8,6
9,Terça,9,1
9,Terça,10,2
9,Terça,11,6
9,Terça,12,1
9,Terça,13,7
9,Terça,14,6
9,Terça,15,5
9,Terça,16,2
9,Terça,17,4
9,Terça,18,6
9,Terça,19,7
9,Terça,20,5
9,Terça,21,7
9,Terça,22,3
9,Terça,23,5
10,Domingo,0,1
10,Domingo,1,1
10,Domingo,3,2
10,Domingo,4,2
10,Domingo,5,3
10,Domingo,10,2
10,Domingo,11,2
10,Domingo,13,4
10,Domingo,14,9
10,Domingo,15,3
10,Domingo,16,2
10,Domingo,17,3
10,Domingo,18,2
10,Domingo,19,8
10,Domingo,20,6
10,Domingo,21,3
10,Domingo,22,5
10,Domingo,23,2
10,Quarta,0,1
10,Quarta,1,1
10,Quarta,2,1
10,Quarta,3,3
10,Quarta,6,1
10,Quarta,7,1
10,Quarta,8,2
10,Quarta,9,2
10,Quarta,12,1
10,Quarta,13,1
10,Quarta,14,7
10,Quarta,15,5
10,Quarta,17,2
10,Quarta,18,2
10,Quarta,20,1
10,Quarta,21,5
10,Quarta,22,3
10,Quarta,23,2
10,Quinta,0,1
10,Quinta,4,1
10,Quinta,5,1
10,Quinta,7,1
10,Quinta,8,2
10,Quinta,9,1
10,Quinta,13,1
10,Quinta,14,3
10,Quinta,15,2
10,Quinta,16,2
10,Quinta,17,4
10,Quinta,18,2
10,Quinta,19,3
10,Quinta,20,3
10,Quinta,21,4
10,Quinta,22,1
10,Quinta,23,2
10,Segunda,1,1
10,Segunda,2,1
10,Segunda,3,1
10,Segunda,5,2
10,Segunda,11,2
10,Segunda,12,1
10,Segunda,13,2
10,Segunda,14,2
10,Segunda,16,1
10,Segunda,17,1
10,Segunda,18,4
10,Segunda,19,6
10,Segunda,20,3
10,Segunda,21,4
10,Segunda,22,6
10,Sexta,1,2
10,Sexta,2,1
10,Sexta,4,1
10,Sexta,8,1
10,Sexta,9,1
10,Sexta,11,1
10,Sexta,13,1
10,Sexta,14,1
10,Sexta,15,2
10,Sexta,16,3
10,Sexta,17,2
10,Sexta,18,4
10,Sexta,19,3
10,Sexta,20,5
10,Sexta,21,4
10,Sexta,22,4
10,Sexta,23,2
10,Sábado,0,1
10,Sábado,1,7
10,Sábado,2,3
10,Sábado,4,1
10,Sábado,7,1
10,Sábado,9,1
10,Sábado,11,1
10,Sábado,12,2
10,Sábado,13,1
10,Sábado,14,2
10,Sábado,15,2
10,Sábado,16,4
10,Sábado,17,1
10,Sábado,18,5
10,Sábado,19,7
10,Sábado,20,2
10,Sábado,21,4
10,Sábado,22,2
10,Sábado,23,7
10,Terça,3,1
10,Terça,5,1
10,Terça,6,1
10,Terça,7,1
10,Terça,8,2
10,Terça,12,1
10,Terça,13,1
10,Terça,14,1
10,Terça,16,1
10,Terça,17,3
10,Terça,18,2
10,Terça,19,2
10,Terça,20,9
10,Terça,21,4
10,Terça,22,3
10,Terça,23,1
11,Domingo,2,2
11,Domingo,3,2
